Model,Parameters,File Type,Balancing Method,Augmentation Factor,Accuracy,Precision,Recall,F1 Score,CPU Usage (%),RAM Usage (%),Precision_Class_0,Recall_Class_0,F1_Class_0,Precision_Class_1,Recall_Class_1,F1_Class_1,Precision_Class_2,Recall_Class_2,F1_Class_2,Precision_Class_3,Recall_Class_3,F1_Class_3,Precision_Class_4,Recall_Class_4,F1_Class_4,Precision_Class_5,Recall_Class_5,F1_Class_5,Precision_Class_6,Recall_Class_6,F1_Class_6,Precision_Class_7,Recall_Class_7,F1_Class_7,Precision_Class_8,Recall_Class_8,F1_Class_8,Precision_Class_9,Recall_Class_9,F1_Class_9,Precision_Class_10,Recall_Class_10,F1_Class_10,Precision_Class_11,Recall_Class_11,F1_Class_11,Precision_Class_12,Recall_Class_12,F1_Class_12,Precision_Class_13,Recall_Class_13,F1_Class_13,Precision_Class_14,Recall_Class_14,F1_Class_14,Precision_Class_15,Recall_Class_15,F1_Class_15,Precision_Class_macro avg,Recall_Class_macro avg,F1_Class_macro avg,Precision_Class_weighted avg,Recall_Class_weighted avg,F1_Class_weighted avg
cnn,"{'cnn_filters': 64, 'dense_units': 128, 'epochs': 10, 'batch_size': 32}",frag,smote,4,0.985239852398524,0.9854013157746782,0.985239852398524,0.9852293508405584,0.5,40.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984126984126984,0.992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.9855072463768116,1.0,1.0,1.0,0.9375,1.0,0.967741935483871,1.0,1.0,1.0,0.9802955665024632,0.9900497512437813,0.9851485148514852,0.9861111111111112,0.9726027397260274,0.9793103448275862,0.9716312056737588,0.9785714285714284,0.9750889679715302,1.0,1.0,1.0,0.9761904761904762,0.9318181818181818,0.9534883720930232,0.9907330224673632,0.989287353557186,0.9898928363502691,0.9854013157746782,0.985239852398524,0.9852293508405584
rnn,"{'rnn_units': 64, 'epochs': 10, 'batch_size': 32}",frag,none,3,0.280327868852459,0.1767258402332581,0.280327868852459,0.1956229378990958,1.0,40.3,0.3333333333333333,0.238095238095238,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.144927536231884,0.1612903225806451,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2969121140142517,0.8223684210526315,0.4363001745200698,0.2647058823529412,0.1764705882352941,0.2117647058823529,0.2933333333333333,0.2178217821782178,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0913401896568027,0.1066455710528843,0.0891421987173897,0.1767258402332581,0.280327868852459,0.1956229378990958
rf,{'n_estimators': 100},frag,smote,2,0.941031941031941,0.9445189881295358,0.941031941031941,0.9381454563757684,1.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769232,1.0,0.96,1.0,0.6,0.75,1.0,0.8857142857142857,0.9393939393939394,0.875,0.875,0.875,1.0,0.5,0.6666666666666666,1.0,0.875,0.9333333333333332,,,,1.0,0.8571428571428571,0.9230769230769232,1.0,1.0,1.0,0.9215686274509804,1.0,0.9591836734693876,1.0,0.9428571428571428,0.9705882352941176,0.9166666666666666,1.0,0.9565217391304348,1.0,0.5,0.6666666666666666,0.9310344827586208,1.0,0.9642857142857144,0.971156446663546,0.869047619047619,0.9043144594211456,0.9445189881295358,0.941031941031941,0.9381454563757684
rf,{'n_estimators': 200},frag,smote,2,0.9017199017199016,0.9044546238604056,0.9017199017199016,0.8985217579020515,0.9,40.0,1.0,1.0,1.0,0.8,1.0,0.8888888888888888,0.9130434782608696,1.0,0.9545454545454546,1.0,0.3333333333333333,0.5,1.0,0.8571428571428571,0.9230769230769232,0.8490566037735849,1.0,0.9183673469387756,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.8571428571428571,0.6666666666666666,0.75,1.0,1.0,1.0,0.8936170212765957,0.9333333333333332,0.9130434782608696,0.9,0.9,0.9,0.8987341772151899,0.8765432098765432,0.8875,1.0,1.0,1.0,0.84,0.7777777777777778,0.8076923076923077,0.9301062758446064,0.8896531452087009,0.8962076266268812,0.9044546238604056,0.9017199017199016,0.8985217579020515
rf,{'n_estimators': 50},frag,smote,2,0.9312039312039312,0.9362537555440944,0.9312039312039312,0.9300935924465336,1.0,40.4,0.8947368421052632,0.8947368421052632,0.8947368421052632,1.0,0.7894736842105263,0.8823529411764706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7857142857142857,0.88,0.8947368421052632,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.7647058823529411,0.8666666666666667,,,,1.0,0.9090909090909092,0.9523809523809524,1.0,1.0,1.0,0.8782608695652174,1.0,0.9351851851851852,0.902439024390244,0.8604651162790697,0.8809523809523809,0.9375,0.967741935483871,0.9523809523809524,1.0,1.0,1.0,1.0,0.9310344827586208,0.9642857142857144,0.9671782385443992,0.9268642091996993,0.9435590719718688,0.9362537555440944,0.9312039312039312,0.9300935924465336
rf,{'n_estimators': 120},frag,smote,2,0.8968058968058968,0.8991184401842708,0.8968058968058968,0.8945681218267765,0.6,40.4,1.0,1.0,1.0,1.0,0.9,0.9473684210526316,0.8888888888888888,1.0,0.9411764705882352,1.0,1.0,1.0,0.8888888888888888,0.7272727272727273,0.8,0.8666666666666667,0.9069767441860463,0.8863636363636364,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.8333333333333334,0.625,0.7142857142857143,1.0,1.0,1.0,0.8793103448275862,0.9807692307692308,0.9272727272727272,0.8787878787878788,0.7837837837837838,0.8285714285714286,0.85,0.8947368421052632,0.8717948717948718,1.0,1.0,1.0,1.0,0.76,0.8636363636363636,0.9390584000928828,0.9052359552078034,0.9186979755710406,0.8991184401842708,0.8968058968058968,0.8945681218267765
rf,{'n_estimators': 100},frag,none,1,0.5882352941176471,0.5680475063588654,0.5882352941176471,0.530563973244882,0.6,40.6,1.0,0.6363636363636364,0.7777777777777778,1.0,0.6,0.75,0.8333333333333334,0.9090909090909092,0.8695652173913043,0.0,0.0,0.0,0.75,0.25,0.375,0.6333333333333333,0.9047619047619048,0.7450980392156863,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,0.5172413793103449,0.8823529411764706,0.6521739130434783,0.5833333333333334,0.4666666666666667,0.5185185185185185,0.4761904761904761,0.6666666666666666,0.5555555555555556,0.0,0.0,0.0,0.6666666666666666,0.1111111111111111,0.1904761904761904,0.4973399014778325,0.395134255722491,0.4067221252430118,0.5680475063588654,0.5882352941176471,0.530563973244882
rf,{'n_estimators': 100},frag,smote,5,1.0,1.0,1.0,1.0,0.9,40.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rf,{'n_estimators': 100},frag,smote,4,0.990159901599016,0.990265709108704,0.990159901599016,0.990152942029718,1.2,40.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.978494623655914,1.0,0.9891304347826086,0.9529411764705882,0.9529411764705882,0.9529411764705882,1.0,0.972972972972973,0.9863013698630136,1.0,1.0,1.0,1.0,1.0,1.0,0.9957147375079064,0.9953696343402224,0.9955233113197632,0.990265709108704,0.990159901599016,0.990152942029718
rf,{'n_estimators': 100},frag,smote,4,1.0,1.0,1.0,1.0,4.0,43.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
